event_id,run_number,feature_acc_norm,device_name,temporal_water_emergency,timestamp,files,feature_pitch,platform,feature_roll,feature_gyr_norm,push_attempted,temporal_free_fall,file_count,push_success,temporal_impact,temporal_stable_duration_ms,state,type,ts,event_type,sync_triggered,feature_jerk,feature_stability,reason,push_sent,device_uid,snapshot_id
d52863cc-a5a1-4dcb-8d32-7240cb8fe144,,0.9845641522610192,Test27,False,2026-04-15T18:20:23.240000,,0.04826884528141908,ios,-2.3219434068238196,0.026637710398016483,True,False,,False,False,1533,STILL,,,GRACEFUL,True,0.013275555763359037,8.852073558136999,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,2be7b7f7-04bc-4d3c-922b-e6a2c288b815
06b74ba8-9f9c-47d9-93cc-6a018077b3c8,,0.9955005278669152,Test27,False,2026-04-15T18:13:45.045000,"[{'filename': 'Fuzzy-Sets-Information-and-Control-1965.pdf', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/dbf3007d-14a6-43de-b650-3f6d0010df73_Fuzzy-Sets-Information-and-Control-1965.pdf'}, {'filename': 'Welcome.md', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/594d8b4d-3dc9-4d7a-bb6a-13d520cb5ec7_Welcome.md'}, {'filename': 'Welcome.pdf', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/0ed39405-9227-4f48-b7d2-769c67dc2e2e_Welcome.pdf'}]",0.03991182148419601,ios,-1.8917122044549328,0.04159003699506064,True,False,3,False,False,1533,STILL,,,GRACEFUL,True,0.057690036991159266,8.856089509128147,stable_window,,b3895c34-8439-4fa7-8d03-4dfedf800f53,bd482d62-feda-421b-b670-a4ff27f77dcc
0878b58a-57b2-41dc-a5d8-ae45501de1cd,,1.1286110467048382,Test27,False,2026-04-15T17:14:54.049000,"[{'filename': 'Fuzzy-Sets-Information-and-Control-1965.pdf', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/0efcba07-6420-4126-80fd-cbaea7af7354_Fuzzy-Sets-Information-and-Control-1965.pdf'}, {'filename': 'Welcome.md', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/a17a7507-3b04-42b7-bcae-48769fad65b1_Welcome.md'}]",-0.16776255888525077,ios,-1.5547645868096716,1.8775021956742626,True,False,2,False,True,0,UNSTABLE,,,EMERGENCY,True,3.85270857153697,10.558891148969424,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,b61d87fe-c835-424d-a8b1-ded88af48813
8e12c707-461e-463d-933b-1ee24662b8f3,,1.2537963825955567,Test27,False,2026-04-15T17:14:52.480000,"[{'filename': 'Fuzzy-Sets-Information-and-Control-1965.pdf', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/ffed7ad7-f407-4eed-bbd0-eb85f02fcbf9_Fuzzy-Sets-Information-and-Control-1965.pdf'}, {'filename': 'Welcome.md', 'url': 'https://autonomous-sync-snapshots.s3.us-east-1.amazonaws.com/users/b3895c34-8439-4fa7-8d03-4dfedf800f53/devices/b3895c34-8439-4fa7-8d03-4dfedf800f53/files/37e1b772-66b9-4d59-8626-5e29e31ba49f_Welcome.md'}]",0.20087421863736785,ios,-0.5464482572028687,1.4585022942688057,True,False,2,False,True,0,UNSTABLE,,,EMERGENCY,True,6.324144312972908,10.01470591167325,impact,,b3895c34-8439-4fa7-8d03-4dfedf800f53,34065075-bf53-4770-8c9b-b8146d1c81e8









